Study	Article Title	Journal	Primary Synthesis Domain	Contributions to the Exposure–Conversion Synthesis
Allagiannis et al. (2025)	The effects of COVID-19 pandemic on business model elements — Insights from Greek micro and small retailers	Journal of General Management	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Aly et al. (2019)	To buy or not to buy: Computing value of spatiotemporal information	ACM Transactions on Spatial Algorithms and Systems	General mobility-market theory and methods	Location-based marketing linked to offline behavior
Alzubi et al. (2024)	The influence of ads’ perceived intrusiveness in geo-fencing and geo-conquesting on purchase intention: The mediating role of customers’ attitudes	Interdisciplinary Journal of Information, Knowledge, and Management	Location-based marketing and digital conversion	Mobility traces linked to market outcomes; Location-based marketing linked to offline behavior; Spatial access and market exposure; Local conditions shaping conversion
Arunraj & Ahrens (2016)	Estimation of non-catastrophic weather impacts for retail industry	International Journal of Retail and Distribution Management	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Ayaz (2025)	Digital Advertising and Customer Movement Analysis Using BLE Beacon Technology and Smart Shopping Carts in Retail	Journal of Theoretical and Applied Electronic Commerce Research	Retail traffic, visits, and store conversion	Spatial access and market exposure
Aziz & Zaheer (2025)	Examining the Potential of Pedestrianization in the Commercial Areas of Lahore, Pakistan	Journal of Urban Planning and Development	Commercial districts, market areas, and spatial infrastructure	Mobility traces linked to market outcomes; Spatial access and market exposure; Commercial districts and place-based markets
Babakus et al. (2004)	Linking perceived quality and customer satisfaction to store traffic and revenue growth	Decision Sciences	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Babar & Burtch (2024)	Recharging Retail: Estimating Consumer Demand Spillovers from Electric Vehicle Charging Stations	Manufacturing and Service Operations Management	Services, hospitality, and non-retail local markets	Mobility traces linked to market outcomes; Local conditions shaping conversion
Banerjee et al. (2023)	Discovering synergies and conflicts in online and offline in-store engagement	Journal of Marketing Analytics	Location-based marketing and digital conversion	Spatial access and market exposure
Banerjee et al. (2025)	The effect of in-store electronic word of mouth on local competitor spillovers in the quick service restaurant industry	Electronic Commerce Research	Location-based marketing and digital conversion	Mobility traces linked to market outcomes; Location-based marketing linked to offline behavior; Spatial access and market exposure; Local conditions shaping conversion
